Source,Target,Type,weight,year
power modeling,router design,Directed,1,2011
power modeling,topology,Directed,1,2011
power modeling,Routing,Directed,1,2011
power modeling,flow control,Directed,1,2011
power modeling,NoC for memory,Directed,1,2011
power modeling,emerge technology,Directed,1,2011
power modeling,emerge technology,Directed,1,2011
power modeling,emerge technology,Directed,1,2011
power modeling,router design,Directed,1,2011
power modeling,topology,Directed,1,2011
power modeling,Routing,Directed,1,2011
power modeling,router design,Directed,1,2011
power modeling,Emulation and Simulation/Simulator,Directed,1,2011
power modeling,router design,Directed,1,2011
power modeling,NoC for memory,Directed,1,2011
power modeling,flow control,Directed,1,2011
power modeling,Emulation and Simulation/Simulator,Directed,1,2011
power modeling,modeling,Directed,1,2011
power modeling,Emulation and Simulation/Simulator,Directed,1,2011
Reliability,mapping,Directed,1,2011
topology,mapping,Directed,1,2011
Reliability,topology,Directed,1,2011
topology,topology,Directed,1,2011
Reliability,emerge technology,Directed,1,2011
topology,emerge technology,Directed,1,2011
Reliability,mapping,Directed,1,2011
Reliability,emerge technology,Directed,1,2011
Reliability,flow control,Directed,1,2011
topology,mapping,Directed,1,2011
topology,emerge technology,Directed,1,2011
topology,flow control,Directed,1,2011
Reliability,emerge technology,Directed,1,2011
topology,emerge technology,Directed,1,2011
Reliability,router design,Directed,1,2011
topology,router design,Directed,1,2011
packet encoding,NoC for manycore,Directed,1,2011
emerge technology,NoC for manycore,Directed,1,2011
packet encoding,modeling,Directed,1,2011
packet encoding,mapping,Directed,1,2011
emerge technology,modeling,Directed,1,2011
emerge technology,mapping,Directed,1,2011
packet encoding,compression,Directed,1,2011
emerge technology,compression,Directed,1,2011
flow control,modeling,Directed,1,2011
flow control,flow control,Directed,1,2011
flow control,modeling,Directed,1,2011
flow control,Routing,Directed,1,2011
Emulation and Simulation/Simulator,flow control,Directed,1,2012
Emulation and Simulation/Simulator,Routing,Directed,1,2012
Emulation and Simulation/Simulator,NoC for manycore,Directed,1,2012
Emulation and Simulation/Simulator,router design,Directed,1,2012
Emulation and Simulation/Simulator,Routing,Directed,1,2012
Emulation and Simulation/Simulator,Routing,Directed,1,2012
Emulation and Simulation/Simulator,performance,Directed,1,2012
Emulation and Simulation/Simulator,flow control,Directed,1,2012
Emulation and Simulation/Simulator,power/thermal management,Directed,1,2012
Emulation and Simulation/Simulator,power/thermal management,Directed,1,2012
security,NoC for manycore,Directed,1,2011
security,Routing,Directed,1,2011
security,router design,Directed,1,2011
security,flow control,Directed,1,2011
security,topology,Directed,1,2011
security,deadlock,Directed,1,2011
security,Routing,Directed,1,2011
security,Emulation and Simulation/Simulator,Directed,1,2011
security,mapping,Directed,1,2011
security,router design,Directed,1,2011
security,flow control,Directed,1,2011
security,flow control,Directed,1,2011
security,flow control,Directed,1,2011
security,modeling,Directed,1,2011
security,mapping,Directed,1,2011
Routing,deadlock,Directed,1,2011
Routing,Routing,Directed,1,2011
Routing,Routing,Directed,1,2011
Routing,deadlock,Directed,1,2011
Routing,topology,Directed,1,2011
Routing,Routing,Directed,1,2011
Routing,Link,Directed,1,2011
flow control,emerge technology,Directed,1,2013
flow control,topology,Directed,1,2013
flow control,Routing,Directed,1,2013
flow control,deadlock,Directed,1,2013
flow control,Emulation and Simulation/Simulator,Directed,1,2013
flow control,emerge technology,Directed,1,2013
flow control,topology,Directed,1,2013
flow control,router design,Directed,1,2013
flow control,emerge technology,Directed,1,2013
flow control,router design,Directed,1,2013
flow control,flow control,Directed,1,2013
flow control,emerge technology,Directed,1,2013
flow control,mapping,Directed,1,2011
deadlock,mapping,Directed,1,2011
Routing,mapping,Directed,1,2011
flow control,QoS,Directed,1,2011
flow control,topology,Directed,1,2011
flow control,Routing,Directed,1,2011
flow control,flow control,Directed,1,2011
deadlock,QoS,Directed,1,2011
deadlock,topology,Directed,1,2011
deadlock,Routing,Directed,1,2011
deadlock,flow control,Directed,1,2011
Routing,QoS,Directed,1,2011
Routing,topology,Directed,1,2011
Routing,Routing,Directed,1,2011
Routing,flow control,Directed,1,2011
flow control,flow control,Directed,1,2011
flow control,Routing,Directed,1,2011
flow control,topology,Directed,1,2011
deadlock,flow control,Directed,1,2011
deadlock,Routing,Directed,1,2011
deadlock,topology,Directed,1,2011
Routing,flow control,Directed,1,2011
Routing,Routing,Directed,1,2011
Routing,topology,Directed,1,2011
mapping,topology,Directed,1,2011
mapping,flow control,Directed,1,2011
mapping,QoS,Directed,1,2011
mapping,Routing,Directed,1,2011
mapping,mapping,Directed,1,2011
mapping,flow control,Directed,1,2011
router design,NoC for manycore,Directed,1,2011
Design space Exploration,QoS,Directed,1,2011
Design space Exploration,topology,Directed,1,2011
Design space Exploration,Routing,Directed,1,2011
Design space Exploration,flow control,Directed,1,2011
Design space Exploration,Verification,Directed,1,2011
Design space Exploration,mapping,Directed,1,2011
Design space Exploration,mapping,Directed,1,2011
Design space Exploration,NoC for memory,Directed,1,2011
Design space Exploration,NoC for FPGA,Directed,1,2011
Design space Exploration,topology,Directed,1,2011
Design space Exploration,physical design,Directed,1,2011
Design space Exploration,modeling,Directed,1,2011
Design space Exploration,emerge technology,Directed,1,2011
Design space Exploration,topology,Directed,1,2011
Design space Exploration,emerge technology,Directed,1,2011
Reliability,emerge technology,Directed,1,2011
Reliability,mapping,Directed,1,2011
Reliability,Reliability,Directed,1,2011
Reliability,Routing,Directed,1,2011
Reliability,Reliability,Directed,1,2011
Reliability,router design,Directed,1,2011
Reliability,throughput,Directed,1,2011
Reliability,distributed,Directed,1,2011
Reliability,topology,Directed,1,2011
Reliability,NoC for manycore,Directed,1,2011
modeling,modeling,Directed,1,2011
modeling,Emulation and Simulation/Simulator,Directed,1,2011
Link,Routing,Directed,1,2011
Link,deadlock,Directed,1,2011
Link,mapping,Directed,1,2011
Link,emerge technology,Directed,1,2011
Link,flow control,Directed,1,2011
flow control,NoC for manycore,Directed,1,2010
flow control,mapping,Directed,1,2010
flow control,emerge technology,Directed,1,2010
flow control,Link,Directed,1,2010
flow control,topology,Directed,1,2010
flow control,topology,Directed,1,2010
flow control,deadlock,Directed,1,2010
flow control,Routing,Directed,1,2010
flow control,Emulation and Simulation/Simulator,Directed,1,2010
flow control,mapping,Directed,1,2010
flow control,router design,Directed,1,2010
flow control,flow control,Directed,1,2010
flow control,flow control,Directed,1,2010
flow control,modeling,Directed,1,2010
flow control,modeling,Directed,1,2010
flow control,modeling,Directed,1,2010
flow control,mapping,Directed,1,2010
flow control,NoC for manycore,Directed,1,2010
flow control,mapping,Directed,1,2010
flow control,Routing Routing,Directed,1,2010
flow control,deadlock,Directed,1,2010
bio-circuits,traffic modeling,Directed,1,2011
bio-circuits,emerge technology,Directed,1,2011
mapping,mapping,Directed,1,2010
3D NoC,mapping,Directed,1,2010
mapping,topology,Directed,1,2010
3D NoC,topology,Directed,1,2010
mapping,mapping,Directed,1,2010
mapping,topology,Directed,1,2010
3D NoC,mapping,Directed,1,2010
3D NoC,topology,Directed,1,2010
mapping,NoC for manycore,Directed,1,2010
3D NoC,NoC for manycore,Directed,1,2010
mapping,router design,Directed,1,2010
mapping,topology,Directed,1,2010
3D NoC,router design,Directed,1,2010
3D NoC,topology,Directed,1,2010
NoC for memory,NoC for memory,Directed,1,2010
NoC for memory,NoC for memory,Directed,1,2010
NoC for memory,router design,Directed,1,2010
NoC for memory,Routing,Directed,1,2010
NoC for memory,flow control,Directed,1,2010
NoC for memory,Routing,Directed,1,2010
NoC for memory,modeling,Directed,1,2010
NoC for memory,router design,Directed,1,2010
topology,topology,Directed,1,2010
topology,NoC for manycore,Directed,1,2010
flow control,emerge technology,Directed,1,2010
NoC for different applications,router design,Directed,1,2010
NoC for different applications,emerge technology,Directed,1,2010
router design,flow control,Directed,1,2010
router design,router design,Directed,1,2010
router design,NoC for manycore,Directed,1,2010
topology,flow control,Directed,1,2010
topology,router design,Directed,1,2010
topology,NoC for manycore,Directed,1,2010
Routing,flow control,Directed,1,2010
Routing,router design,Directed,1,2010
Routing,NoC for manycore,Directed,1,2010
router design,GALS,Directed,1,2010
router design,flow control,Directed,1,2010
topology,GALS,Directed,1,2010
topology,flow control,Directed,1,2010
Routing,GALS,Directed,1,2010
Routing,flow control,Directed,1,2010
router design,topology,Directed,2,2010
router design,router design,Directed,2,2010
topology,topology,Directed,2,2010
topology,router design,Directed,2,2010
Routing,topology,Directed,2,2010
Routing,router design,Directed,2,2010
router design,router design,Directed,1,2010
topology,router design,Directed,1,2010
Routing,router design,Directed,1,2010
router design,flow control,Directed,1,2010
router design,router design,Directed,1,2010
router design,QoS,Directed,1,2010
router design,flow control,Directed,1,2010
topology,flow control,Directed,1,2010
topology,router design,Directed,1,2010
topology,QoS,Directed,1,2010
topology,flow control,Directed,1,2010
Routing,flow control,Directed,1,2010
Routing,router design,Directed,1,2010
Routing,QoS,Directed,1,2010
Routing,flow control,Directed,1,2010
router design,topology,Directed,1,2010
topology,topology,Directed,1,2010
Routing,topology,Directed,1,2010
flow control,topology,Directed,1,2010
flow control,NoC for manycore,Directed,1,2010
QoS,topology,Directed,1,2010
QoS,NoC for manycore,Directed,1,2010
flow control,flow control,Directed,1,2010
QoS,flow control,Directed,1,2010
flow control,flow control,Directed,1,2010
QoS,flow control,Directed,1,2010
flow control,QoS,Directed,1,2010
flow control,topology,Directed,1,2010
flow control,Routing,Directed,1,2010
flow control,flow control,Directed,1,2010
QoS,QoS,Directed,1,2010
QoS,topology,Directed,1,2010
QoS,Routing,Directed,1,2010
QoS,flow control,Directed,1,2010
flow control,QoS,Directed,1,2010
flow control,flow control,Directed,1,2010
flow control,router design,Directed,1,2010
QoS,QoS,Directed,1,2010
QoS,flow control,Directed,1,2010
QoS,router design,Directed,1,2010
Design space Exploration,Emulation and Simulation/Simulator,Directed,1,2010
Design space Exploration,router design,Directed,1,2010
Design space Exploration,NoC for memory,Directed,1,2010
Design space Exploration,flow control,Directed,1,2010
Design space Exploration,flow control,Directed,1,2010
Design space Exploration,router design,Directed,1,2010
Design space Exploration,NoC for manycore,Directed,1,2010
Design space Exploration,topology,Directed,1,2010
Design space Exploration,modeling,Directed,1,2010
Design space Exploration,mapping,Directed,1,2010
Design space Exploration,topology,Directed,1,2010
Design space Exploration,router design,Directed,1,2010
Design space Exploration,flow control,Directed,1,2010
Design space Exploration,topology,Directed,1,2010
Design space Exploration,NoC for manycore,Directed,1,2010
flow control,emerge technology,Directed,1,2010
power/thermal management,mapping,Directed,1,2010
Routing,mapping,Directed,1,2010
Reconfiguration,mapping,Directed,1,2010
power/thermal management,emerge technology,Directed,1,2010
Routing,emerge technology,Directed,1,2010
Reconfiguration,emerge technology,Directed,1,2010
power/thermal management,NoC for manycore,Directed,1,2010
Routing,NoC for manycore,Directed,1,2010
Reconfiguration,NoC for manycore,Directed,1,2010
power/thermal management,emerge technology,Directed,1,2010
power/thermal management,topology,Directed,1,2010
power/thermal management,Routing,Directed,1,2010
power/thermal management,deadlock,Directed,1,2010
power/thermal management,Emulation and Simulation/Simulator,Directed,1,2010
Routing,emerge technology,Directed,1,2010
Routing,topology,Directed,1,2010
Routing,Routing,Directed,1,2010
Routing,deadlock,Directed,1,2010
Routing,Emulation and Simulation/Simulator,Directed,1,2010
Reconfiguration,emerge technology,Directed,1,2010
Reconfiguration,topology,Directed,1,2010
Reconfiguration,Routing,Directed,1,2010
Reconfiguration,deadlock,Directed,1,2010
Reconfiguration,Emulation and Simulation/Simulator,Directed,1,2010
power/thermal management,emerge technology,Directed,1,2010
Routing,emerge technology,Directed,1,2010
Reconfiguration,emerge technology,Directed,1,2010
power/thermal management,emerge technology,Directed,1,2010
Routing,emerge technology,Directed,1,2010
Reconfiguration,emerge technology,Directed,1,2010
power/thermal management,topology,Directed,1,2010
Routing,topology,Directed,1,2010
Reconfiguration,topology,Directed,1,2010
power/thermal management,emerge technology,Directed,1,2010
Routing,emerge technology,Directed,1,2010
Reconfiguration,emerge technology,Directed,1,2010
modeling,router design,Directed,1,2011
Bufferless,deadlock,Directed,1,2010
Bufferless,flow control,Directed,1,2010
Bufferless,modeling,Directed,1,2010
Bufferless,mapping,Directed,1,2010
Bufferless,topology,Directed,1,2010
Bufferless,Routing,Directed,1,2010
Bufferless,power consumption,Directed,1,2010
Bufferless,flow control,Directed,1,2010
Bufferless,performance,Directed,1,2010
Bufferless,router design,Directed,1,2010
Bufferless,flow control,Directed,1,2010
Bufferless,modeling,Directed,1,2010
Bufferless,router design,Directed,1,2010
Bufferless,router design,Directed,1,2010
Bufferless,topology,Directed,1,2010
Emulation and Simulation/Simulator,mapping,Directed,1,2011
Reliability,mapping,Directed,1,2011
Emulation and Simulation/Simulator,emerge technology,Directed,1,2011
Reliability,emerge technology,Directed,1,2011
topology,mapping,Directed,1,2010
topology,emerge technology,Directed,1,2010
topology,Link,Directed,1,2010
topology,topology,Directed,1,2010
topology,Routing,Directed,1,2010
topology,Routing,Directed,1,2010
topology,flow control,Directed,1,2010
topology,QoS,Directed,1,2010
topology,topology,Directed,1,2010
topology,Routing,Directed,1,2010
topology,flow control,Directed,1,2010
topology,modeling,Directed,1,2010
topology,mapping,Directed,1,2010
flow control,topology,Directed,1,2010
flow control,Routing,Directed,1,2010
flow control,emerge technology,Directed,1,2010
flow control,flow control,Directed,1,2010
flow control,NoC for memory,Directed,1,2010
flow control,NoC for memory,Directed,1,2010
flow control,deadlock,Directed,1,2010
flow control,flow control,Directed,1,2010
Reconfiguration,flow control,Directed,1,2010
Reconfiguration,power/thermal management,Directed,1,2010
router design,flow control,Directed,1,2010
router design,power/thermal management,Directed,1,2010
Reconfiguration,reconfiguration,Directed,1,2010
Reconfiguration,Routing,Directed,1,2010
router design,reconfiguration,Directed,1,2010
router design,Routing,Directed,1,2010
Reconfiguration,topology,Directed,1,2010
Reconfiguration,NoC for manycore,Directed,1,2010
router design,topology,Directed,1,2010
router design,NoC for manycore,Directed,1,2010
emerge technology,NoC for manycore,Directed,1,2010
NI design,NoC for manycore,Directed,1,2010
emerge technology,mapping,Directed,1,2010
NI design,mapping,Directed,1,2010
emerge technology,NoC for memory,Directed,1,2010
NI design,NoC for memory,Directed,1,2010
emerge technology,router design,Directed,1,2010
NI design,router design,Directed,1,2010
emerge technology,flow control,Directed,1,2010
NI design,flow control,Directed,1,2010
Reliability,router design,Directed,1,2010
Reliability,Reliability,Directed,1,2010
Reliability,Reliability,Directed,1,2010
Reliability,Reliability,Directed,1,2010
router design,flow control,Directed,1,2010
router design,topology,Directed,1,2010
router design,NoC for manycore,Directed,1,2010
router design,emerge technology,Directed,1,2010
router design,NoC for manycore,Directed,1,2010
router design,router design,Directed,1,2010
router design,topology,Directed,1,2010
Routing,mapping,Directed,1,2010
Routing,flow control,Directed,1,2010
Routing,Routing,Directed,1,2010
Routing,NoC for memory,Directed,1,2010
Routing,NoC for different applications,Directed,1,2010
Routing,topology,Directed,1,2010
Routing,flow control,Directed,1,2010
Routing,QoS,Directed,1,2010
Routing,Routing,Directed,1,2010
Routing,modeling,Directed,1,2010
Routing,Design space Exploration,Directed,1,2010
traffic modeling,Routing,Directed,1,2010
traffic modeling,power consumption,Directed,1,2010
traffic modeling,flow control,Directed,1,2010
traffic modeling,performance,Directed,1,2010
traffic modeling,modeling,Directed,1,2010
Reliability,Reliability,Directed,1,2010
emerge technology,Link,Directed,1,2010
Link,Link,Directed,1,2010
emerge technology,Link,Directed,1,2010
Link,Link,Directed,1,2010
delay,Link,Directed,1,2010
temperature,Link,Directed,1,2010
emerge technology,router design,Directed,1,2010
emerge technology,topology,Directed,1,2010
Link,router design,Directed,1,2010
Link,topology,Directed,1,2010
emerge technology,router design,Directed,1,2010
emerge technology,topology,Directed,1,2010
Link,router design,Directed,1,2010
Link,topology,Directed,1,2010
delay,router design,Directed,1,2010
delay,topology,Directed,1,2010
temperature,router design,Directed,1,2010
temperature,topology,Directed,1,2010
emerge technology,Reliability,Directed,1,2010
Link,Reliability,Directed,1,2010
emerge technology,Reliability,Directed,1,2010
Link,Reliability,Directed,1,2010
delay,Reliability,Directed,1,2010
temperature,Reliability,Directed,1,2010
emerge technology,modeling,Directed,1,2010
Link,modeling,Directed,1,2010
emerge technology,modeling,Directed,1,2010
Link,modeling,Directed,1,2010
delay,modeling,Directed,1,2010
temperature,modeling,Directed,1,2010
emerge technology,Reliability,Directed,1,2010
Link,Reliability,Directed,1,2010
emerge technology,Reliability,Directed,1,2010
Link,Reliability,Directed,1,2010
delay,Reliability,Directed,1,2010
temperature,Reliability,Directed,1,2010
Routing,topology,Directed,1,2010
Routing,Routing,Directed,1,2010
Routing,emerge technology,Directed,1,2010
deadlock,topology,Directed,1,2010
deadlock,Routing,Directed,1,2010
deadlock,emerge technology,Directed,1,2010
Routing,mapping,Directed,1,2010
deadlock,mapping,Directed,1,2010
Routing,mapping,Directed,1,2010
Routing,emerge technology,Directed,1,2010
Routing,flow control,Directed,1,2010
deadlock,mapping,Directed,1,2010
deadlock,emerge technology,Directed,1,2010
deadlock,flow control,Directed,1,2010
router design,NoC for DSP,Directed,1,2009
router design,flow control,Directed,1,2009
router design,flow control,Directed,1,2009
router design,reconfiguration,Directed,1,2009
router design,flow control,Directed,1,2009
Reliability,mapping,Directed,1,2010
Reliability,modeling,Directed,1,2010
Reliability,router design,Directed,1,2010
Reliability,modeling,Directed,1,2010
Reliability,router design,Directed,1,2010
Reliability,router design,Directed,1,2010
Reliability,topology,Directed,1,2010
Reliability,NoC for manycore,Directed,1,2010
Reliability,Link,Directed,1,2010
Reliability,topology,Directed,1,2010
Reliability,router design,Directed,1,2010
Reliability,flow control,Directed,1,2010
Reliability,router design,Directed,1,2010
Reliability,NoC for manycore,Directed,1,2010
Reliability,router designs,Directed,1,2010
Reliability,NoC for manycore,Directed,1,2010
Reliability,Reliability,Directed,1,2010
Reliability,router design,Directed,1,2010
Reliability,flow control,Directed,1,2010
Reliability,Routing,Directed,1,2010
Reliability,Reliability,Directed,1,2010
Reliability,Reliability,Directed,1,2010
Reliability,Reliability,Directed,1,2010
Reliability,mapping,Directed,1,2010
Reliability,Routing,Directed,1,2010
Reliability,NoC for manycore,Directed,1,2010
Deadlock,topology,Directed,1,2010
Deadlock,Routing,Directed,1,2010
Deadlock,emerge technology,Directed,1,2010
Deadlock,mapping,Directed,1,2010
Deadlock,deadlock,Directed,1,2010
Deadlock,flow control,Directed,1,2010
Deadlock,topology,Directed,1,2010
Deadlock,NoC for manycore,Directed,1,2010
Deadlock,emerge technology,Directed,1,2010
Deadlock,topology,Directed,1,2010
Reconfiguration,Link,Directed,1,2010
Reconfiguration,Process Variation,Directed,1,2010
Reconfiguration,emerge technology,Directed,1,2010
Reconfiguration,topology,Directed,1,2010
Reconfiguration,GALS,Directed,1,2010
Reconfiguration,flow control,Directed,1,2010
Reconfiguration,NoC for manycore,Directed,1,2010
Reconfiguration,power/thermal management,Directed,1,2010
Reconfiguration,emerge technology,Directed,1,2010
Reconfiguration,emerge technology,Directed,1,2010
Reliability,Link,Directed,1,2009
Reliability,Link,Directed,1,2009
Reliability,modeling,Directed,1,2009
emerge technology,mapping,Directed,1,2009
emerge technology,Routing Routing,Directed,1,2009
emerge technology,deadlock,Directed,1,2009
mapping,power/thermal management,Directed,1,2009
mapping,emerge technology,Directed,1,2009
mapping,mapping,Directed,1,2009
mapping,emerge technology,Directed,1,2009
mapping,Link,Directed,1,2009
mapping,topology,Directed,1,2009
mapping,reconfiguration,Directed,1,2009
mapping,NoC for different applications ,Directed,1,2009
mapping,flow control,Directed,1,2009
mapping,NoC for manycore,Directed,1,2009
topology,mapping,Directed,1,2009
topology,mapping,Directed,1,2009
topology,emerge technology,Directed,1,2009
topology,topology,Directed,1,2009
topology,modeling,Directed,1,2009
router design,flow control,Directed,1,2010
router design,router design,Directed,1,2010
router design,NoC for manycore,Directed,1,2010
throughput,flow control,Directed,1,2010
throughput,router design,Directed,1,2010
throughput,NoC for manycore,Directed,1,2010
distributed,flow control,Directed,1,2010
distributed,router design,Directed,1,2010
distributed,NoC for manycore,Directed,1,2010
router design,modeling,Directed,1,2010
router design,mapping,Directed,1,2010
throughput,modeling,Directed,1,2010
throughput,mapping,Directed,1,2010
distributed,modeling,Directed,1,2010
distributed,mapping,Directed,1,2010
router design,topology,Directed,1,2010
router design,router design,Directed,1,2010
throughput,topology,Directed,1,2010
throughput,router design,Directed,1,2010
distributed,topology,Directed,1,2010
distributed,router design,Directed,1,2010
router design,router design,Directed,1,2010
throughput,router design,Directed,1,2010
distributed,router design,Directed,1,2010
router design,router design,Directed,1,2010
router design,flow control,Directed,1,2010
throughput,router design,Directed,1,2010
throughput,flow control,Directed,1,2010
distributed,router design,Directed,1,2010
distributed,flow control,Directed,1,2010
router design,modeling,Directed,1,2010
router design,router design,Directed,1,2010
throughput,modeling,Directed,1,2010
throughput,router design,Directed,1,2010
distributed,modeling,Directed,1,2010
distributed,router design,Directed,1,2010
router design,router design,Directed,1,2010
router design,topology,Directed,1,2010
throughput,router design,Directed,1,2010
throughput,topology,Directed,1,2010
distributed,router design,Directed,1,2010
distributed,topology,Directed,1,2010
router design,Routing,Directed,1,2009
flow control,Routing,Directed,1,2009
Routing,emerge technology,Directed,1,2009
Routing,topology,Directed,1,2009
Routing,Routing,Directed,1,2009
Routing,deadlock,Directed,1,2009
Routing,Emulation and Simulation/Simulator,Directed,1,2009
flow control,emerge technology,Directed,1,2009
flow control,topology,Directed,1,2009
flow control,Routing,Directed,1,2009
flow control,deadlock,Directed,1,2009
flow control,Emulation and Simulation/Simulator,Directed,1,2009
Routing,emerge technology,Directed,1,2009
flow control,emerge technology,Directed,1,2009
Routing,Emulation and Simulation/Simulator,Directed,1,2009
Routing,topology,Directed,1,2009
flow control,Emulation and Simulation/Simulator,Directed,1,2009
flow control,topology,Directed,1,2009
Routing,NoC for memory,Directed,1,2009
Routing,emerge technology,Directed,1,2009
flow control,NoC for memory,Directed,1,2009
flow control,emerge technology,Directed,1,2009
Routing,Routing,Directed,1,2009
emerge technology,Routing,Directed,1,2009
Routing,flow control,Directed,1,2009
emerge technology,flow control,Directed,1,2009
Routing,router design,Directed,1,2009
Routing,flow control,Directed,1,2009
emerge technology,router design,Directed,1,2009
emerge technology,flow control,Directed,1,2009
Routing,power/thermal management,Directed,1,2009
Routing,emerge technology,Directed,1,2009
emerge technology,power/thermal management,Directed,1,2009
emerge technology,emerge technology,Directed,1,2009
Routing,Link,Directed,1,2009
emerge technology,Link,Directed,1,2009
router design,modeling,Directed,1,2009
router design,router design,Directed,1,2009
router design,topology,Directed,1,2009
router design,Routing,Directed,1,2009
router design,emerge technology,Directed,1,2009
router design,router design,Directed,1,2009
router design,topology,Directed,1,2009
router design,router design,Directed,1,2009
router design,router design,Directed,1,2009
router design,NoC for manycore,Directed,1,2009
router design,router designs,Directed,1,2009
Reliability,Reliability,Directed,1,2009
Reliability,Reliability,Directed,1,2009
Reliability,Routing,Directed,1,2009
Reliability,Reliability,Directed,1,2009
Reliability,Routing,Directed,1,2009
Reliability,Reliability,Directed,1,2009
Reliability,topology,Directed,1,2009
Reliability,Reliability,Directed,1,2009
Reliability,Reliability,Directed,1,2009
mapping,mapping,Directed,1,2009
mapping,NoC for memory,Directed,1,2009
mapping,NoC for FPGA,Directed,1,2009
mapping,topology,Directed,1,2009
mapping,physical design,Directed,1,2009
mapping,mapping,Directed,1,2009
mapping,topology,Directed,1,2009
mapping,Routing,Directed,1,2009
mapping,emerge technology,Directed,1,2009
mapping,emerge technology,Directed,1,2009
mapping,mapping,Directed,1,2009
topology,mapping,Directed,1,2009
topology,emerge technology,Directed,1,2009
topology,topology,Directed,1,2009
topology,compression,Directed,1,2009
topology,topology,Directed,1,2009
topology,flow control,Directed,1,2009
topology,topology,Directed,1,2009
topology,router design,Directed,1,2009
topology,router design,Directed,1,2009
topology,topology,Directed,1,2009
topology,NoC for manycore,Directed,1,2009
router design,GALS,Directed,1,2009
router design,flow control,Directed,1,2009
Routing,topology,Directed,1,2009
Routing,flow control,Directed,1,2009
Routing,QoS,Directed,1,2009
Routing,Routing,Directed,1,2009
topology,topology,Directed,1,2009
topology,flow control,Directed,1,2009
topology,QoS,Directed,1,2009
topology,Routing,Directed,1,2009
Routing,QoS,Directed,1,2009
Routing,topology,Directed,1,2009
Routing,Routing,Directed,1,2009
Routing,flow control,Directed,1,2009
topology,QoS,Directed,1,2009
topology,topology,Directed,1,2009
topology,Routing,Directed,1,2009
topology,flow control,Directed,1,2009
Routing,flow control,Directed,1,2009
topology,flow control,Directed,1,2009
Routing,NoC for memory,Directed,1,2009
Routing,flow control,Directed,1,2009
Routing,topology,Directed,1,2009
Routing,Routing,Directed,1,2009
topology,NoC for memory,Directed,1,2009
topology,flow control,Directed,1,2009
topology,topology,Directed,1,2009
topology,Routing,Directed,1,2009
Routing,flow control,Directed,1,2009
Routing,topology,Directed,1,2009
topology,flow control,Directed,1,2009
topology,topology,Directed,1,2009
Routing,mapping,Directed,1,2009
Routing,reconfiguration,Directed,1,2009
topology,mapping,Directed,1,2009
topology,reconfiguration,Directed,1,2009
flow control,reconfiguration,Directed,1,2009
flow control,QoS,Directed,1,2009
flow control,deadlock,Directed,1,2009
flow control,flow control,Directed,1,2009
flow control,mapping,Directed,1,2009
flow control,power/thermal management,Directed,1,2009
flow control,reconfiguration,Directed,1,2009
Routing,NoC for different applications,Directed,1,2009
Link,NoC for different applications,Directed,1,2009
Routing,router design,Directed,1,2009
Link,router design,Directed,1,2009
Routing,emerge technology,Directed,1,2009
Link,emerge technology,Directed,1,2009
Routing,Routing,Directed,1,2009
Routing,flow control,Directed,1,2009
Link,Routing,Directed,1,2009
Link,flow control,Directed,1,2009
Routing,modeling,Directed,1,2009
Routing,router design,Directed,1,2009
Link,modeling,Directed,1,2009
Link,router design,Directed,1,2009
modeling,topology,Directed,1,2009
modeling,Routing,Directed,1,2009
modeling,emerge technology,Directed,1,2009
Link,testing and diagnosis,Directed,1,2009
Link,Verification,Directed,1,2009
testing and diagnosis,testing and diagnosis,Directed,1,2009
testing and diagnosis,Verification,Directed,1,2009
testing and Diagnosis,testing and diagnosis,Directed,1,2009
testing and Diagnosis,Verification,Directed,1,2009
mesh,testing and diagnosis,Directed,1,2009
mesh,Verification,Directed,1,2009
Link,testing and diagnosis,Directed,1,2009
testing and diagnosis,testing and diagnosis,Directed,1,2009
testing and Diagnosis,testing and diagnosis,Directed,1,2009
mesh,testing and diagnosis,Directed,1,2009
Link,testing and diagnosis,Directed,1,2009
testing and diagnosis,testing and diagnosis,Directed,1,2009
testing and Diagnosis,testing and diagnosis,Directed,1,2009
mesh,testing and diagnosis,Directed,1,2009
Link,Reliability,Directed,1,2009
testing and diagnosis,Reliability,Directed,1,2009
testing and Diagnosis,Reliability,Directed,1,2009
mesh,Reliability,Directed,1,2009
modeling,emerge technology,Directed,1,2009
modeling,mapping,Directed,1,2009
modeling,topology,Directed,1,2009
modeling,router design,Directed,1,2009
modeling,mapping,Directed,1,2009
modeling,emerge technology,Directed,1,2009
modeling,Link,Directed,1,2009
modeling,topology,Directed,1,2009
modeling,topology,Directed,1,2009
modeling,flow control,Directed,1,2009
modeling,NoC for memory,Directed,1,2009
modeling,Link,Directed,1,2009
modeling,reconfiguration,Directed,1,2009
modeling,mapping,Directed,1,2009
Design space Exploration,router design,Directed,1,2008
Design space Exploration,NoC for manycore,Directed,1,2008
Design space Exploration,router design,Directed,1,2008
Design space Exploration,topology,Directed,1,2008
Design space Exploration,mapping,Directed,1,2008
Design space Exploration,Routing,Directed,1,2008
Design space Exploration,power consumption,Directed,1,2008
Design space Exploration,mapping,Directed,1,2008
Design space Exploration,Routing,Directed,1,2008
Design space Exploration,flow control,Directed,1,2008
Design space Exploration,mapping,Directed,1,2008
Design space Exploration,mapping,Directed,1,2008
Design space Exploration,power/thermal management,Directed,1,2008
